dia(1)	hora(1)	gyroX	gyroY	gyroZ	accelX	accelY	accelZ	roll	pitch	yaw	dir	gpsLong	gpsLat	altime	motores(4)	motores(4)	motores(4)	motores(4)
2019-04-18	11:38:13	41.015625	7.8125	54.69512939453125	0.08642578125	0.064453125	1.069091796875	0.675	0.541	-8.658	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:13	-74.22637939453125	13.671875	162.109375	0.027587890625	0.0185546875	1.087890625	0.784	0.829	-16.403	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:14	19.53125	9.765625	152.34375	0.02197265625	0.02197265625	1.054931640625	1.693	0.767	-20.052	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:14	29.296875	17.578125	25.390625	0.021484375	0.02587890625	1.048828125	1.922	0.652	-20.509	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:15	27.34375	15.625	-142.58575439453125	0.056884765625	0.015380859375	1.05615234375	2.147	0.446	-20.335	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:15	13.671875	1.953125	37.109375	0.01708984375	0.0244140625	1.0595703125	2.151	0.489	-19.91	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:16	7.8125	1.953125	27.34375	0.018310546875	0.0283203125	1.05859375	2.19	0.518	-20.789	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:16	21.484375	11.71875	27.34375	0.019287109375	0.024169921875	1.0556640625	2.151	0.564	-20.993	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:17	11.71875	5.859375	93.75	0.025390625	0.023681640625	1.05224609375	2.118	0.614	-21.244	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:17	11.71875	3.90625	15.625	0.022705078125	0.026611328125	1.054931640625	1.988	0.755	-21.547	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:18	17.578125	7.8125	-3.91387939453125	0.020263671875	0.02294921875	1.047607421875	1.936	0.791	-21.63	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:19	29.296875	21.484375	-80.08575439453125	0.023193359375	0.019775390625	1.060546875	1.947	0.726	-21.404	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:19	11.71875	19.53125	11.688232421875	0.039306640625	0.0087890625	1.05126953125	2.01	0.109	-15.541	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:20	3.90625	50.78125	-144.56939697265625	0.0400390625	0.016357421875	1.0595703125	1.601	-0.881	0.506	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:20	19.53125	25.390625	175.7659912109375	0.059814453125	0.001220703125	1.048828125	1.076	-1.174	13.581	N	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:21	25.390625	33.203125	-130.88226318359375	0.012451171875	-0.00390625	1.05908203125	0.854	-1.172	22.557	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:21	19.53125	13.671875	27.34375	0.013427734375	0.00537109375	1.0498046875	0.805	-0.819	26.272	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:22	25.390625	13.671875	13.671875	0.01123046875	0.00830078125	1.054931640625	0.944	-0.506	26.333	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:22	25.390625	19.53125	27.34375	0.01416015625	0.0048828125	1.055908203125	1.012	-0.309	26.9	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	11:38:23	19.53125	13.671875	29.296875	0.0146484375	0.0029296875	1.05322265625	1.067	-0.149	26.483	NE	gpsLong	gpsLat	700	1000	1000	1000	1000
