dia(1)	hora(1)	gyroX	gyroY	gyroZ	accelX	accelY	accelZ	roll	pitch	yaw	brujula	vientoFG	varianzaRoll	varianzaPitch	direccion	gpsLong	gpsLat	altime	motores(4)	motores(4)	motores(4)	motores(4)
2019-04-18	19:45:21	33.203125	13.671875	-0.00762939453125	0.0	0.01416015625	1.0595703125	0.518	-0.007	0.0	N	0.01416015625	0	0	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:21	31.25	11.71875	-1.96075439453125	0.004638671875	0.0166015625	1.053955078125	0.713	-0.037	0.126	N	0.01723743467588267	-0.1957610783045104	0.029544431283628547	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:21	33.203125	9.765625	-13.67950439453125	0.00390625	0.01904296875	1.05615234375	0.888	-0.08	0.186	N	0.01943948167714295	-0.17467668906627232	0.04326920237074151	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:21	35.15625	11.71875	0.0	0.0	0.015625	1.055908203125	1.042	-0.101	0.182	N	0.015625	-0.15380547354577334	0.02141404642363462	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:21	33.203125	9.765625	1.953125	0.003662109375	0.018310546875	1.057373046875	1.168	-0.13	0.179	N	0.018673167164036077	-0.1258074079886844	0.02830113256231824	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:22	31.25	7.8125	3.90625	-0.00048828125	0.011962890625	1.05419921875	1.287	-0.151	0.172	N	0.01197285140160081	-0.1189237295798442	0.02120042351168286	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:22	35.15625	9.765625	0.0	0.001220703125	0.014404296875	1.05908203125	1.377	-0.172	0.169	N	0.01445592904598385	-0.09086858587579272	0.02116677169689002	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:22	33.203125	13.671875	1.953125	0.00048828125	0.0126953125	1.06103515625	1.475	-0.186	0.166	N	0.012704699053962586	-0.0978833738641871	0.014180680635574566	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:22	33.203125	13.671875	33.19549560546875	0.00390625	0.019775390625	1.054931640625	1.564	-0.22	0.883	N	0.020157501418425795	-0.08825874167196557	0.03382732528899221	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-04-18	19:45:22	33.203125	1.953125	-35.186767578125	-0.0712890625	0.032470703125	1.058349609375	1.638	-0.4	3.224	N	0.078335668718412	-0.07418170307866556	0.18051497572608285	None	gpsLong	gpsLat	700	1000	1000	1000	1000
