dia(1)	hora(1)	gyroX	gyroY	gyroZ	accelX	accelY	accelZ	roll	pitch	yaw	brujula	vientoFG	varianzaRoll	varianzaPitch	direccion	gpsLong	gpsLat	altime	motores(4)	motores(4)	motores(4)	motores(4)
2019-05-06	11:51:26	17,578125	13,671875	27,34375	1,005615234375	0,05615234375	-0,098876953125	2,664	83,72	-4,435	N	1,0071817538635737	0	0	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:26	21,484375	9,765625	17,578125	1,005615234375	0,051513671875	-0,0986328125	2,554	83,835	-4,508	N	1,0069337902747784	0,10992696268855218	-0,11551664275231133	W	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:26	19,53125	11,71875	23,4375	1,007080078125	0,052734375	-0,096923828125	2,463	83,919	-4,595	N	1,0084598147982382	0,09140145538859246	-0,08375884005921819	NW	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	19,53125	15,625	23,4375	1,000732421875	0,05517578125	-0,10693359375	2,386	83,978	-4,669	N	1,0022523370031875	0,07655173753389821	-0,05897254795959839	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	21,484375	17,578125	35,15625	1,006591796875	0,04296875	-0,09716796875	2,31	84,05	-4,752	N	1,007508490789335	0,07651240807874693	-0,07219626258425649	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	17,578125	21,484375	41,015625	1,00244140625	0,045166015625	-0,097900390625	2,253	84,109	-4,825	N	1,0034583907327275	0,05633307705227697	-0,05881469123366401	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	15,625	-1,96075439453125	-9,77325439453125	0,99853515625	0,053955078125	-0,104736328125	2,211	84,148	-4,918	N	0,9999918043277589	0,04269573671922089	-0,038797502114803706	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	23,4375	41,015625	78,125	1,005615234375	0,048583984375	-0,0986328125	2,125	84,232	-4,999	N	1,006788162000744	0,08580125287766771	-0,08434631044090679	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:27	21,484375	9,765625	9,765625	1,00927734375	0,054931640625	-0,101806640625	2,097	84,264	-5,086	N	1,0107711124427774	0,027563285260970183	-0,032485038277215494	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	19,53125	25,390625	41,015625	1,00439453125	0,05126953125	-0,098388671875	2,045	84,303	-5,167	N	1,0057022120088541	0,052260230209398184	-0,038018470411046223	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	19,53125	11,71875	19,53125	1,006591796875	0,0517578125	-0,1025390625	2,017	84,335	-5,254	N	1,0079215826098906	0,0275003434420098	-0,03238141901324809	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	19,53125	19,53125	37,109375	1,0078125	0,046142578125	-0,09912109375	1,985	84,365	-5,347	N	1,008868263289252	0,03292365175056666	-0,030002442986642563	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	21,484375	17,578125	35,15625	1,00244140625	0,048095703125	-0,09765625	1,957	84,388	-5,435	N	1,0035945245085616	0,027871496746340707	-0,02321376803851649	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	21,484375	13,671875	21,484375	1,00244140625	0,05126953125	-0,103759765625	1,934	84,414	-5,517	N	1,0037516315299677	0,022538753395518363	-0,026043130381268043	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	17,578125	13,671875	23,4375	1,002685546875	0,049072265625	-0,1025390625	1,902	84,439	-5,6	N	1,003885647454723	0,03253385183604496	-0,025022509432702122	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2019-05-06	11:51:28	54,6875	164,05487060546875	152,33612060546875	1,01025390625	-0,1171875	-0,2060546875	1,897	83,717	-7,984	N	1,0170279569656056	0,004224118136592736	0,7226400725811288	None	gpsLong	gpsLat	700	1000	1000	1000	1000
