dia(1)	hora(1)	gyroX	gyroY	gyroZ	accelX	accelY	accelZ	roll	pitch	yaw	brujula	vientoFG	varianzaRoll	varianzaPitch	direccion	gpsLong	gpsLat	altime	motores(4)	motores(4)	motores(4)	motores(4)
0	2019-05-07	11:54:13	-89.85137939453125	111.328125	-121.09375	-0.04638671875	0.1484375	1.01904296875	5.538	-1.172	-0.128	N	0.15551661995633007	0	0	None	gpsLong	gpsLat	700	1000	1000	1000	1000
1	2019-05-07	11:54:14	177.734375	-70.3125	-240.234375	-0.098388671875	0.100830078125	1.037109375	5.954	-2.581	-0.71	N	0.14087950669994562	-0.4162465110065847	1.4081009574210293	None	gpsLong	gpsLat	700	1000	1000	1000	1000
2	2019-05-07	11:54:14	236.32049560546875	195.30487060546875	-203.13262939453125	-0.0322265625	0.145263671875	1.02099609375	5.628	-2.322	-0.696	N	0.1487954491816671	0.32629955816113476	-0.2582852085165306	W	gpsLong	gpsLat	700	1000	1000	1000	1000
3	2019-05-07	11:54:14	177.734375	-111.33575439453125	240.2496337890625	-0.162353515625	0.147705078125	1.02587890625	5.957	-3.358	-1.28	N	0.21948907521721775	-0.32976561117350656	1.0358564613065377	None	gpsLong	gpsLat	700	1000	1000	1000	1000
4	2019-05-07	11:54:14	68.359375	50.78887939453125	-91.796875	-0.234619140625	0.118896484375	1.064208984375	6.209	-4.26	-1.518	N	0.26302569293578176	-0.25107174279701105	0.9019933942272425	None	gpsLong	gpsLat	700	1000	1000	1000	1000
5	2019-05-07	11:54:14	-189.46075439453125	-164.0472412109375	199.2034912109375	-0.15283203125	0.101318359375	1.0625	6.414	-6.442	-1.652	N	0.1833658630237445	-0.20586522359027715	2.182065627823345	None	gpsLong	gpsLat	700	1000	1000	1000	1000
6	2019-05-07	11:54:14	35.14862060546875	-33.203125	68.328857421875	-0.01318359375	0.0615234375	0.976806640625	6.346	-10.076	-1.935	N	0.06292011209447616	0.06887985233978533	3.6335777724012708	None	gpsLong	gpsLat	700	1000	1000	1000	1000
7	2019-05-07	11:54:14	13.67950439453125	-11.69586181640625	-183.6090087890625	-0.259521484375	0.16357421875	1.05615234375	4.821	-2.391	-1.611	N	0.30677015156608084	1.5242486761648495	-7.684942777242378	W	gpsLong	gpsLat	700	1000	1000	1000	1000
8	2019-05-07	11:54:15	181.640625	-72.4029541015625	-156.280517578125	-0.334228515625	0.091552734375	1.058837890625	5.121	2.774	-1.074	N	0.34654091220003186	-0.29921213028276217	-5.1653243581462736	S	gpsLong	gpsLat	700	1000	1000	1000	1000
9	2019-05-07	11:54:15	-193.38226318359375	-119.2169189453125	-31.27288818359375	0.375244140625	-0.05126953125	1.028076171875	5.191	-6.898	-1.123	N	0.3787304185142639	-0.07011053684827839	9.672271724796914	None	gpsLong	gpsLat	700	1000	1000	1000	1000
10	2019-05-07	11:54:15	-78.094482421875	-158.0657958984375	-167.97637939453125	0.508544921875	0.046630859375	1.080810546875	6.062	-14.472	-1.565	N	0.5106783475054536	-0.8711200203310874	7.5744269525489285	None	gpsLong	gpsLat	700	1000	1000	1000	1000
11	2019-05-07	11:54:15	-136.7034912109375	13.87786865234375	37.11700439453125	-0.377197265625	0.232421875	1.258544921875	5.069	-7.991	-2.557	N	0.44305496856879106	0.9927384850328069	-6.481383683180324	W	gpsLong	gpsLat	700	1000	1000	1000	1000
12	2019-05-07	11:54:15	-160.17913818359375	212.8753662109375	25.33721923828125	-0.417236328125	0.029052734375	1.112548828125	3.731	6.469	-1.151	N	0.41824659578040435	1.3377499777685542	-14.459794130221642	W	gpsLong	gpsLat	700	1000	1000	1000	1000
13	2019-05-07	11:54:15	41.0003662109375	148.2391357421875	33.172607421875	0.252685546875	0.16943359375	1.086669921875	3.69	7.519	0.448	N	0.3042330164373319	0.04085371319851916	-1.0500198410738424	SW	gpsLong	gpsLat	700	1000	1000	1000	1000
14	2019-05-07	11:54:15	-3.90625	-89.90478515625	226.50909423828125	0.95654296875	-0.234130859375	1.183837890625	5.986	-14.041	-0.773	N	0.9847800314673015	-2.2955034209856957	21.559998002941263	None	gpsLong	gpsLat	700	1000	1000	1000	1000
15	2019-05-07	11:54:16	-17.578125	-118.8507080078125	207.06939697265625	-0.233154296875	0.209228515625	1.3251953125	3.764	-6.862	-2.317	N	0.3132690503415818	2.221799231121305	-7.17860049364631	W	gpsLong	gpsLat	700	1000	1000	1000	1000
16	2019-05-07	11:54:16	156.219482421875	-249.8931884765625	97.625732421875	-0.68505859375	0.054443359375	1.218994140625	4.212	17.14	0.246	N	0.6872185651237624	-0.4477829090162997	-24.00237352008844	S	gpsLong	gpsLat	700	1000	1000	1000	1000
17	2019-05-07	11:54:16	234.3902587890625	9.49859619140625	76.07269287109375	-0.5947265625	0.058837890625	1.40283203125	5.809	20.164	-0.179	N	0.5976299703966208	-1.5973326485881625	-3.023658692529466	S	gpsLong	gpsLat	700	1000	1000	1000	1000
18	2019-05-07	11:54:16	35.15625	-62.7288818359375	208.90045166015625	1.212646484375	-0.027099609375	1.259765625	4.932	2.716	1.684	N	1.2129492507501394	0.876798262189884	17.447315114288138	N	gpsLong	gpsLat	700	1000	1000	1000	1000
19	2019-05-07	11:54:16	41.0308837890625	-234.29107666015625	-183.57086181640625	0.673583984375	-0.0009765625	0.925048828125	4.954	-10.195	-1.613	N	0.6735846922851029	-0.02110171694146956	12.911061535661966	None	gpsLong	gpsLat	700	1000	1000	1000	1000
